npi,communityId
1548450513,2293
1548457054,1476
1548457229,1186
1548460066,713
1548460991,713
1548464027,713
1548478936,713
1548485071,713
1548517477,2289
1548549785,2186
1548557150,567
1548565245,7245
1548571052,235
1548571482,2186
1548581598,2289
1548588650,7225
1548604044,1186
1548605744,1186
1548621824,2186
1548625148,713
1548632821,713
1548636970,2293
1548637093,1295
1548641087,567
1548663230,2289
1548667199,1474
1548677610,2307
1548680234,2293
1548704547,1186
1548715147,1186
1548795800,2307
1558306217,713
1558306357,1295
1558306464,1901
1558309971,1186
1558310367,713
1558315168,1186
1558324095,2293
1558337097,567
1558343830,2186
1558345256,2293
1558348052,713
1558350991,2186
1558353185,1295
1558355941,2289
1558357012,713
1558359224,2186
1558360347,1186
1558361816,713
1558378554,1186
1558384099,2293
1558386433,1186
1558386771,1295
1558394106,1444
1558395285,2307
1558408633,713
1558418368,713
1558418418,1186
1558420299,713
1558422667,713
1558424671,2293
1558445668,713
1558448423,2186
1558458661,713
1558458687,713
1558461970,2293
1558466425,235
1558474940,2186
1558479170,2186
1558499269,2289
1558515437,713
1558538751,713
1558541565,1295
1558548784,275
1558559393,2186
1558560383,235
1558564021,1303
1558565036,1476
1558565093,713
1558570895,713
1558592519,2307
1558607051,713
1558620864,713
1558630277,275
1558632042,2293
1558648873,2186
1558652388,713
1558653923,567
1558669598,7283
1558671511,713
1558680686,2293
1558682336,713
1558686782,1901
1558697565,713
1558708727,7279
1558721076,1186
1558723270,2289
1558739565,1186
1558746933,713
1558757138,7354
1558769497,713
1558780627,713
1558785683,1295
1558786665,7355
1558796102,275
1558796342,2293
1558797415,275
1558801332,2293
1558895987,7301
1568406411,1186
1568406783,2186
1568410363,2293
1568411197,235
1568415164,1476
1568416857,2186
1568417772,1186
1568423432,3543
1568431062,2186
1568435808,1295
1568448736,2293
1568452431,2293
1568453207,2293
1568454908,235
1568455517,567
1568459873,1295
1568460640,2293
1568461424,713
1568464782,713
1568464873,2307
1568465623,713
1568466480,2289
1568471076,235
1568484582,2293
1568489664,2186
1568492049,1295
1568493062,1474
1568494953,7264
1568498665,169
1568513075,1295
1568519353,713
1568530822,713
1568531317,713
1568546679,713
1568549624,2307
1568551455,1901
1568559672,713
1568559680,713
1568559698,713
1568568319,2186
1568569796,2293
1568573293,235
1568576825,1295
1568584126,713
1568597102,1186
1568623973,713
1568629194,713
1568642114,235
1568647105,7211
1568663441,1901
1568687812,567
1568694529,2307
1568697522,713
1568699411,567
1568700052,275
1568701662,235
1568736650,275
1568758266,7258
1568762854,2289
1568768893,567
1568776235,235
1568784205,1186
1568784346,7221
1568788974,713
1568837920,1476
1568843159,567
1568856862,235
1568865079,235
1568890697,567
1568895837,1476
1568983898,1186
1568987808,2307
1578000337,1295
1578002556,1295
1578003109,1295
1578097390,275
1578099123,169
1578501607,567
1578501904,2293
1578503280,2186
1578505723,1901
1578509998,2293
1578510418,2293
1578513958,2289
1578514717,567
1578521316,1444
1578523809,1295
1578528717,713
1578528923,2289
1578530796,1901
1578531174,567
1578531851,567
1578533220,235
1578533535,2293
1578535936,235
1578541439,567
1578544110,567
1578550059,713
1578551917,2186
1578557690,2186
1578558185,2307
1578563185,1186
1578567210,1186
1578575932,713
1578576740,2307
1578578589,713
1578580676,2186
1578581104,1186
1578581294,713
1578584199,6503
1578597704,2186
1578597902,2293
1578604906,1186
1578610390,169
1578610457,1186
1578615522,235
1578621785,2289
1578639951,2293
1578644357,2307
1578647681,713
1578649703,1295
1578650602,713
1578650685,713
1578654653,975
1578655791,713
1578665188,2293
1578670386,2293
1578672408,235
1578677274,2293
1578692695,2293
1578696423,2289
1578706701,2293
1578708970,567
1578717450,2307
1578728283,1901
1578728747,1186
1578733481,1465
1578746491,567
1578761375,1476
1578761458,7289
1578766697,2307
1578769709,713
1578781738,2293
1578790796,713
1578816641,1186
1578820627,2293
1578827358,235
1578828489,1901
1578857017,567
1578873246,713
1578882171,2186
1578903563,1295
1578928198,713
1578930251,1295
1578961520,713
1578970182,2307
1578983508,2289
1578998886,2186
1588001846,1186
1588009112,5938
1588010110,275
1588017669,6900
1588019772,1186
1588021380,2307
1588032072,2293
1588033708,1901
1588047583,1186
1588052054,275
1588089551,275
1588117824,2293
1588197701,2186
1588606347,1186
1588615389,2186
1588618300,713
1588621031,2186
1588632178,1295
1588646319,713
1588648638,235
1588655021,1186
1588655153,1186
1588655377,2293
1588656508,1186
1588656664,1295
1588662225,1186
1588662274,2293
1588664544,1186
1588679518,567
1588684104,235
1588684849,567
1588691083,1476
1588694459,235
1588696264,2186
1588698211,2186
1588701999,1186
1588738744,2289
1588744767,1465
1588750582,713
1588760938,567
1588777445,1295
1588779698,2293
1588788301,1186
1588789044,1186
1588807168,713
1588807416,1186
1588807606,1186
1588816748,2307
1588822803,713
1588829659,2293
1588837264,235
1588846588,7512
1588851661,2186
1588853634,7307
1588856041,567
1588861207,2293
1588862064,713
1588868681,2293
1588899082,1901
1588899215,713
1588928980,2293
1588938104,7076
1588944532,1476
1588951438,1295
1588965594,713
1588968549,2293
1588975478,6915
1588983431,1186
1588984660,1295
1588986319,713
1588998371,235
1598021073,567
1598035982,2307
1598049850,1476
1598051542,567
1598054090,713
1598057572,2293
1598059024,1186
1598059545,1474
1598069551,567
1598077984,1186
1598083578,2293
1598083594,235
1598084089,713
1598084170,2186
1598098600,7044
1598101792,713
1598114977,567
1598125205,1476
1598153520,1186
1598158560,1295
1598175739,275
1598179343,713
1598194847,2293
