ZIP,CBSA,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
01243,44140,0.000000000,1.000000000,1.000000000,1.000000000
01244,38340,0.000000000,1.000000000,1.000000000,1.000000000
01245,38340,1.000000000,1.000000000,1.000000000,1.000000000
01247,38340,0.996564312,1.000000000,1.000000000,0.997072278
01247,44140,0.003435690,0.000000000,0.000000000,0.002927720
01252,38340,0.000000000,0.000000000,1.000000000,1.000000000
01253,38340,1.000000000,1.000000000,1.000000000,1.000000000
01254,38340,1.000000000,1.000000000,1.000000000,1.000000000
01255,38340,1.000000000,1.000000000,1.000000000,1.000000000
01256,38340,1.000000000,1.000000000,1.000000000,1.000000000
01257,38340,1.000000000,1.000000000,1.000000000,1.000000000
01258,38340,1.000000000,1.000000000,1.000000000,1.000000000
01259,38340,1.000000000,1.000000000,1.000000000,1.000000000
01260,38340,0.000000000,0.000000000,1.000000000,1.000000000
01262,38340,0.000000000,0.000000000,1.000000000,1.000000000
01263,38340,0.000000000,1.000000000,0.000000000,1.000000000
01264,38340,0.000000000,0.000000000,1.000000000,1.000000000
01266,38340,1.000000000,1.000000000,1.000000000,1.000000000
01267,38340,1.000000000,1.000000000,1.000000000,1.000000000
01270,38340,1.000000000,1.000000000,1.000000000,1.000000000
01301,44140,1.000000000,1.000000000,1.000000000,1.000000000
01302,44140,1.000000000,1.000000000,1.000000000,1.000000000
01330,44140,1.000000000,1.000000000,1.000000000,1.000000000
01331,44140,0.001590580,0.002427180,0.000000000,0.001570760
01331,49340,0.998409416,0.997572816,1.000000000,0.998429245
01337,44140,1.000000000,1.000000000,1.000000000,1.000000000
01338,44140,1.000000000,1.000000000,1.000000000,1.000000000
01339,44140,1.000000000,1.000000000,1.000000000,1.000000000
01340,44140,1.000000000,1.000000000,1.000000000,1.000000000
01341,44140,1.000000000,1.000000000,1.000000000,1.000000000
01342,44140,1.000000000,1.000000000,1.000000000,1.000000000
01343,44140,0.022471900,0.000000000,0.000000000,0.021276600
01343,38340,0.977528090,1.000000000,1.000000000,0.978723404
01344,44140,1.000000000,1.000000000,1.000000000,1.000000000
01346,44140,1.000000000,0.000000000,1.000000000,1.000000000
01347,44140,0.000000000,0.000000000,1.000000000,1.000000000
01349,44140,1.000000000,1.000000000,1.000000000,1.000000000
01350,44140,1.000000000,1.000000000,1.000000000,1.000000000
01351,44140,1.000000000,1.000000000,1.000000000,1.000000000
01354,44140,1.000000000,1.000000000,1.000000000,1.000000000
01355,44140,1.000000000,1.000000000,1.000000000,1.000000000
01360,44140,1.000000000,1.000000000,1.000000000,1.000000000
01364,44140,0.997810019,0.994550409,1.000000000,0.997634816
01364,49340,0.002189980,0.005449590,0.000000000,0.002365180
01366,49340,1.000000000,1.000000000,1.000000000,1.000000000
01367,44140,0.932038835,0.937500000,1.000000000,0.933130699
01367,38340,0.067961165,0.062500000,0.000000000,0.066869301
01368,49340,1.000000000,1.000000000,1.000000000,1.000000000
01370,44140,1.000000000,1.000000000,1.000000000,1.000000000
01373,44140,1.000000000,1.000000000,1.000000000,1.000000000
01375,44140,1.000000000,1.000000000,1.000000000,1.000000000
01376,44140,1.000000000,1.000000000,1.000000000,1.000000000
01378,44140,1.000000000,1.000000000,1.000000000,1.000000000
01379,44140,1.000000000,1.000000000,1.000000000,1.000000000
01380,44140,1.000000000,0.000000000,1.000000000,1.000000000
01420,49340,1.000000000,1.000000000,1.000000000,1.000000000
01430,49340,1.000000000,1.000000000,1.000000000,1.000000000
01431,14460,0.998290598,1.000000000,1.000000000,0.998370008
01431,49340,0.001709400,0.000000000,0.000000000,0.001629990
01432,14460,1.000000000,1.000000000,1.000000000,1.000000000
01434,14460,0.181506849,0.117845118,0.360000000,0.165884194
01434,49340,0.818493151,0.882154882,0.640000000,0.834115806
01436,49340,1.000000000,1.000000000,1.000000000,1.000000000
01438,49340,1.000000000,0.000000000,1.000000000,1.000000000
01440,49340,1.000000000,1.000000000,1.000000000,1.000000000
01441,49340,0.000000000,0.000000000,1.000000000,1.000000000
01450,14460,1.000000000,1.000000000,1.000000000,1.000000000
01451,49340,0.988854058,1.000000000,1.000000000,0.990003124
01451,14460,0.011145900,0.000000000,0.000000000,0.009996900
01452,49340,1.000000000,1.000000000,1.000000000,1.000000000
01453,49340,1.000000000,1.000000000,1.000000000,1.000000000
01460,14460,0.998298958,1.000000000,1.000000000,0.998526703
01460,49340,0.001701040,0.000000000,0.000000000,0.001473300
01462,14460,0.001310620,0.000000000,0.000000000,0.001220150
01462,49340,0.998689384,1.000000000,1.000000000,0.998779850
01463,14460,1.000000000,1.000000000,1.000000000,1.000000000
01464,14460,1.000000000,1.000000000,1.000000000,1.000000000
01467,49340,0.000000000,0.000000000,1.000000000,1.000000000
01468,49340,1.000000000,1.000000000,1.000000000,1.000000000
01469,14460,1.000000000,1.000000000,1.000000000,1.000000000
01472,14460,0.000000000,0.000000000,1.000000000,1.000000000
01473,49340,1.000000000,1.000000000,1.000000000,1.000000000
01474,14460,1.000000000,1.000000000,1.000000000,1.000000000
01475,49340,1.000000000,1.000000000,1.000000000,1.000000000
01501,49340,1.000000000,1.000000000,1.000000000,1.000000000
01503,14460,0.000000000,0.011764700,0.000000000,0.000869565
01503,49340,1.000000000,0.988235294,1.000000000,0.999130435
01504,49340,0.998419389,1.000000000,1.000000000,0.998567335
01504,14460,0.001580610,0.000000000,0.000000000,0.001432660
01505,49340,1.000000000,1.000000000,1.000000000,1.000000000
01506,49340,1.000000000,1.000000000,1.000000000,1.000000000
01507,49340,1.000000000,1.000000000,1.000000000,1.000000000
01508,49340,1.000000000,0.000000000,1.000000000,1.000000000
01509,49340,1.000000000,0.000000000,1.000000000,1.000000000
01510,49340,1.000000000,1.000000000,1.000000000,1.000000000
01515,49340,1.000000000,1.000000000,1.000000000,1.000000000
01516,49340,1.000000000,1.000000000,1.000000000,1.000000000
01518,49340,1.000000000,1.000000000,1.000000000,1.000000000
